areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,Northern Ireland,N92000002,2021-04-29,3,9386
nation,Northern Ireland,N92000002,2021-04-28,4,9383
nation,Northern Ireland,N92000002,2021-04-27,9,9379
nation,Northern Ireland,N92000002,2021-04-26,4,9370
nation,Northern Ireland,N92000002,2021-04-25,5,9366
nation,Northern Ireland,N92000002,2021-04-24,6,9361
nation,Northern Ireland,N92000002,2021-04-23,9,9355
nation,Northern Ireland,N92000002,2021-04-22,4,9346
nation,Northern Ireland,N92000002,2021-04-21,10,9342
nation,Northern Ireland,N92000002,2021-04-20,4,9332
nation,Northern Ireland,N92000002,2021-04-19,5,9328
nation,Northern Ireland,N92000002,2021-04-18,2,9323
nation,Northern Ireland,N92000002,2021-04-17,3,9321
nation,Northern Ireland,N92000002,2021-04-16,6,9318
nation,Northern Ireland,N92000002,2021-04-15,4,9312
nation,Northern Ireland,N92000002,2021-04-14,5,9308
nation,Northern Ireland,N92000002,2021-04-13,6,9303
nation,Northern Ireland,N92000002,2021-04-12,3,9297
nation,Northern Ireland,N92000002,2021-04-11,2,9294
nation,Northern Ireland,N92000002,2021-04-10,9,9292
nation,Northern Ireland,N92000002,2021-04-09,2,9283
nation,Northern Ireland,N92000002,2021-04-08,4,9281
nation,Northern Ireland,N92000002,2021-04-07,6,9277
nation,Northern Ireland,N92000002,2021-04-06,5,9271
nation,Northern Ireland,N92000002,2021-04-05,2,9266
nation,Northern Ireland,N92000002,2021-04-04,5,9264
nation,Northern Ireland,N92000002,2021-04-03,5,9259
nation,Northern Ireland,N92000002,2021-04-02,9,9254
nation,Northern Ireland,N92000002,2021-04-01,10,9245
nation,Northern Ireland,N92000002,2021-03-31,6,9235
nation,Northern Ireland,N92000002,2021-03-30,3,9229
nation,Northern Ireland,N92000002,2021-03-29,12,9226
nation,Northern Ireland,N92000002,2021-03-28,8,9214
nation,Northern Ireland,N92000002,2021-03-27,7,9206
nation,Northern Ireland,N92000002,2021-03-26,12,9199
nation,Northern Ireland,N92000002,2021-03-25,4,9187
nation,Northern Ireland,N92000002,2021-03-24,10,9183
nation,Northern Ireland,N92000002,2021-03-23,8,9173
nation,Northern Ireland,N92000002,2021-03-22,5,9165
nation,Northern Ireland,N92000002,2021-03-21,7,9160
nation,Northern Ireland,N92000002,2021-03-20,7,9153
nation,Northern Ireland,N92000002,2021-03-19,18,9146
nation,Northern Ireland,N92000002,2021-03-18,9,9128
nation,Northern Ireland,N92000002,2021-03-17,12,9119
nation,Northern Ireland,N92000002,2021-03-16,13,9107
nation,Northern Ireland,N92000002,2021-03-15,9,9094
nation,Northern Ireland,N92000002,2021-03-14,6,9085
nation,Northern Ireland,N92000002,2021-03-13,13,9079
nation,Northern Ireland,N92000002,2021-03-12,17,9066
nation,Northern Ireland,N92000002,2021-03-11,20,9049
nation,Northern Ireland,N92000002,2021-03-10,9,9029
nation,Northern Ireland,N92000002,2021-03-09,11,9020
nation,Northern Ireland,N92000002,2021-03-08,16,9009
nation,Northern Ireland,N92000002,2021-03-07,12,8993
nation,Northern Ireland,N92000002,2021-03-06,13,8981
nation,Northern Ireland,N92000002,2021-03-05,13,8968
nation,Northern Ireland,N92000002,2021-03-04,14,8955
nation,Northern Ireland,N92000002,2021-03-03,14,8941
nation,Northern Ireland,N92000002,2021-03-02,15,8927
nation,Northern Ireland,N92000002,2021-03-01,23,8912
nation,Northern Ireland,N92000002,2021-02-28,8,8889
nation,Northern Ireland,N92000002,2021-02-27,13,8881
nation,Northern Ireland,N92000002,2021-02-26,18,8868
nation,Northern Ireland,N92000002,2021-02-25,19,8850
nation,Northern Ireland,N92000002,2021-02-24,21,8831
nation,Northern Ireland,N92000002,2021-02-23,26,8810
nation,Northern Ireland,N92000002,2021-02-22,23,8784
nation,Northern Ireland,N92000002,2021-02-21,14,8761
nation,Northern Ireland,N92000002,2021-02-20,22,8747
nation,Northern Ireland,N92000002,2021-02-19,25,8725
nation,Northern Ireland,N92000002,2021-02-18,34,8700
nation,Northern Ireland,N92000002,2021-02-17,19,8666
nation,Northern Ireland,N92000002,2021-02-16,23,8647
nation,Northern Ireland,N92000002,2021-02-15,31,8624
nation,Northern Ireland,N92000002,2021-02-14,17,8593
nation,Northern Ireland,N92000002,2021-02-13,18,8576
nation,Northern Ireland,N92000002,2021-02-12,22,8558
nation,Northern Ireland,N92000002,2021-02-11,39,8536
nation,Northern Ireland,N92000002,2021-02-10,25,8497
nation,Northern Ireland,N92000002,2021-02-09,40,8472
nation,Northern Ireland,N92000002,2021-02-08,34,8432
nation,Northern Ireland,N92000002,2021-02-07,24,8398
nation,Northern Ireland,N92000002,2021-02-06,35,8374
nation,Northern Ireland,N92000002,2021-02-05,42,8339
nation,Northern Ireland,N92000002,2021-02-04,31,8297
nation,Northern Ireland,N92000002,2021-02-03,45,8266
nation,Northern Ireland,N92000002,2021-02-02,50,8221
nation,Northern Ireland,N92000002,2021-02-01,52,8171
nation,Northern Ireland,N92000002,2021-01-31,40,8119
nation,Northern Ireland,N92000002,2021-01-30,57,8079
nation,Northern Ireland,N92000002,2021-01-29,59,8022
nation,Northern Ireland,N92000002,2021-01-28,54,7963
nation,Northern Ireland,N92000002,2021-01-27,50,7909
nation,Northern Ireland,N92000002,2021-01-26,72,7859
nation,Northern Ireland,N92000002,2021-01-25,61,7787
nation,Northern Ireland,N92000002,2021-01-24,59,7726
nation,Northern Ireland,N92000002,2021-01-23,55,7667
nation,Northern Ireland,N92000002,2021-01-22,75,7612
nation,Northern Ireland,N92000002,2021-01-21,89,7537
nation,Northern Ireland,N92000002,2021-01-20,78,7448
nation,Northern Ireland,N92000002,2021-01-19,70,7370
nation,Northern Ireland,N92000002,2021-01-18,77,7300
nation,Northern Ireland,N92000002,2021-01-17,73,7223
nation,Northern Ireland,N92000002,2021-01-16,92,7150
nation,Northern Ireland,N92000002,2021-01-15,83,7058
nation,Northern Ireland,N92000002,2021-01-14,100,6975
nation,Northern Ireland,N92000002,2021-01-13,75,6875
nation,Northern Ireland,N92000002,2021-01-12,91,6800
nation,Northern Ireland,N92000002,2021-01-11,90,6709
nation,Northern Ireland,N92000002,2021-01-10,103,6619
nation,Northern Ireland,N92000002,2021-01-09,88,6516
nation,Northern Ireland,N92000002,2021-01-08,110,6428
nation,Northern Ireland,N92000002,2021-01-07,83,6318
nation,Northern Ireland,N92000002,2021-01-06,80,6235
nation,Northern Ireland,N92000002,2021-01-05,80,6155
nation,Northern Ireland,N92000002,2021-01-04,76,6075
nation,Northern Ireland,N92000002,2021-01-03,75,5999
nation,Northern Ireland,N92000002,2021-01-02,58,5924
nation,Northern Ireland,N92000002,2021-01-01,70,5866
nation,Northern Ireland,N92000002,2020-12-31,72,5796
nation,Northern Ireland,N92000002,2020-12-30,77,5724
nation,Northern Ireland,N92000002,2020-12-29,74,5647
nation,Northern Ireland,N92000002,2020-12-28,59,5573
nation,Northern Ireland,N92000002,2020-12-27,60,5514
nation,Northern Ireland,N92000002,2020-12-26,50,5454
nation,Northern Ireland,N92000002,2020-12-25,45,5404
nation,Northern Ireland,N92000002,2020-12-24,46,5359
nation,Northern Ireland,N92000002,2020-12-23,51,5313
nation,Northern Ireland,N92000002,2020-12-22,50,5262
nation,Northern Ireland,N92000002,2020-12-21,57,5212
nation,Northern Ireland,N92000002,2020-12-20,34,5155
nation,Northern Ireland,N92000002,2020-12-19,32,5121
nation,Northern Ireland,N92000002,2020-12-18,42,5089
nation,Northern Ireland,N92000002,2020-12-17,45,5047
nation,Northern Ireland,N92000002,2020-12-16,43,5002
nation,Northern Ireland,N92000002,2020-12-15,56,4959
nation,Northern Ireland,N92000002,2020-12-14,50,4903
nation,Northern Ireland,N92000002,2020-12-13,39,4853
nation,Northern Ireland,N92000002,2020-12-12,41,4814
nation,Northern Ireland,N92000002,2020-12-11,30,4773
nation,Northern Ireland,N92000002,2020-12-10,31,4743
nation,Northern Ireland,N92000002,2020-12-09,34,4712
nation,Northern Ireland,N92000002,2020-12-08,53,4678
nation,Northern Ireland,N92000002,2020-12-07,42,4625
nation,Northern Ireland,N92000002,2020-12-06,32,4583
nation,Northern Ireland,N92000002,2020-12-05,33,4551
nation,Northern Ireland,N92000002,2020-12-04,40,4518
nation,Northern Ireland,N92000002,2020-12-03,40,4478
nation,Northern Ireland,N92000002,2020-12-02,38,4438
nation,Northern Ireland,N92000002,2020-12-01,36,4400
nation,Northern Ireland,N92000002,2020-11-30,40,4364
nation,Northern Ireland,N92000002,2020-11-29,32,4324
nation,Northern Ireland,N92000002,2020-11-28,27,4292
nation,Northern Ireland,N92000002,2020-11-27,47,4265
nation,Northern Ireland,N92000002,2020-11-26,31,4218
nation,Northern Ireland,N92000002,2020-11-25,43,4187
nation,Northern Ireland,N92000002,2020-11-24,39,4144
nation,Northern Ireland,N92000002,2020-11-23,26,4105
nation,Northern Ireland,N92000002,2020-11-22,29,4079
nation,Northern Ireland,N92000002,2020-11-21,35,4050
nation,Northern Ireland,N92000002,2020-11-20,50,4015
nation,Northern Ireland,N92000002,2020-11-19,39,3965
nation,Northern Ireland,N92000002,2020-11-18,39,3926
nation,Northern Ireland,N92000002,2020-11-17,45,3887
nation,Northern Ireland,N92000002,2020-11-16,45,3842
nation,Northern Ireland,N92000002,2020-11-15,44,3797
nation,Northern Ireland,N92000002,2020-11-14,39,3753
nation,Northern Ireland,N92000002,2020-11-13,35,3714
nation,Northern Ireland,N92000002,2020-11-12,38,3679
nation,Northern Ireland,N92000002,2020-11-11,51,3641
nation,Northern Ireland,N92000002,2020-11-10,53,3590
nation,Northern Ireland,N92000002,2020-11-09,50,3537
nation,Northern Ireland,N92000002,2020-11-08,48,3487
nation,Northern Ireland,N92000002,2020-11-07,41,3439
nation,Northern Ireland,N92000002,2020-11-06,55,3398
nation,Northern Ireland,N92000002,2020-11-05,42,3343
nation,Northern Ireland,N92000002,2020-11-04,53,3301
nation,Northern Ireland,N92000002,2020-11-03,59,3248
nation,Northern Ireland,N92000002,2020-11-02,55,3189
nation,Northern Ireland,N92000002,2020-11-01,37,3134
nation,Northern Ireland,N92000002,2020-10-31,37,3097
nation,Northern Ireland,N92000002,2020-10-30,48,3060
nation,Northern Ireland,N92000002,2020-10-29,58,3012
nation,Northern Ireland,N92000002,2020-10-28,41,2954
nation,Northern Ireland,N92000002,2020-10-27,58,2913
nation,Northern Ireland,N92000002,2020-10-26,47,2855
nation,Northern Ireland,N92000002,2020-10-25,47,2808
nation,Northern Ireland,N92000002,2020-10-24,55,2761
nation,Northern Ireland,N92000002,2020-10-23,48,2706
nation,Northern Ireland,N92000002,2020-10-22,54,2658
nation,Northern Ireland,N92000002,2020-10-21,43,2604
nation,Northern Ireland,N92000002,2020-10-20,54,2561
nation,Northern Ireland,N92000002,2020-10-19,47,2507
nation,Northern Ireland,N92000002,2020-10-18,45,2460
nation,Northern Ireland,N92000002,2020-10-17,47,2415
nation,Northern Ireland,N92000002,2020-10-16,48,2368
nation,Northern Ireland,N92000002,2020-10-15,46,2320
nation,Northern Ireland,N92000002,2020-10-14,37,2274
nation,Northern Ireland,N92000002,2020-10-13,44,2237
nation,Northern Ireland,N92000002,2020-10-12,32,2193
nation,Northern Ireland,N92000002,2020-10-11,37,2161
nation,Northern Ireland,N92000002,2020-10-10,31,2124
nation,Northern Ireland,N92000002,2020-10-09,23,2093
nation,Northern Ireland,N92000002,2020-10-08,30,2070
nation,Northern Ireland,N92000002,2020-10-07,30,2040
nation,Northern Ireland,N92000002,2020-10-06,27,2010
nation,Northern Ireland,N92000002,2020-10-05,26,1983
nation,Northern Ireland,N92000002,2020-10-04,17,1957
nation,Northern Ireland,N92000002,2020-10-03,22,1940
nation,Northern Ireland,N92000002,2020-10-02,10,1918
nation,Northern Ireland,N92000002,2020-10-01,18,1908
nation,Northern Ireland,N92000002,2020-09-30,16,1890
nation,Northern Ireland,N92000002,2020-09-29,9,1874
nation,Northern Ireland,N92000002,2020-09-28,21,1865
nation,Northern Ireland,N92000002,2020-09-27,12,1844
nation,Northern Ireland,N92000002,2020-09-26,11,1832
nation,Northern Ireland,N92000002,2020-09-25,6,1821
nation,Northern Ireland,N92000002,2020-09-24,8,1815
nation,Northern Ireland,N92000002,2020-09-23,13,1807
nation,Northern Ireland,N92000002,2020-09-22,8,1794
nation,Northern Ireland,N92000002,2020-09-21,11,1786
nation,Northern Ireland,N92000002,2020-09-20,6,1775
nation,Northern Ireland,N92000002,2020-09-19,4,1769
nation,Northern Ireland,N92000002,2020-09-18,3,1765
nation,Northern Ireland,N92000002,2020-09-17,4,1762
nation,Northern Ireland,N92000002,2020-09-16,3,1758
nation,Northern Ireland,N92000002,2020-09-15,4,1755
nation,Northern Ireland,N92000002,2020-09-14,8,1751
nation,Northern Ireland,N92000002,2020-09-13,6,1743
nation,Northern Ireland,N92000002,2020-09-12,4,1737
nation,Northern Ireland,N92000002,2020-09-11,7,1733
nation,Northern Ireland,N92000002,2020-09-10,7,1726
nation,Northern Ireland,N92000002,2020-09-09,3,1719
nation,Northern Ireland,N92000002,2020-09-08,9,1716
nation,Northern Ireland,N92000002,2020-09-07,1,1707
nation,Northern Ireland,N92000002,2020-09-06,4,1706
nation,Northern Ireland,N92000002,2020-09-05,1,1702
nation,Northern Ireland,N92000002,2020-09-04,2,1701
nation,Northern Ireland,N92000002,2020-09-03,3,1699
nation,Northern Ireland,N92000002,2020-09-02,0,1696
nation,Northern Ireland,N92000002,2020-09-01,4,1696
nation,Northern Ireland,N92000002,2020-08-31,5,1692
nation,Northern Ireland,N92000002,2020-08-30,3,1687
nation,Northern Ireland,N92000002,2020-08-29,2,1684
nation,Northern Ireland,N92000002,2020-08-28,5,1682
nation,Northern Ireland,N92000002,2020-08-27,4,1677
nation,Northern Ireland,N92000002,2020-08-26,0,1673
nation,Northern Ireland,N92000002,2020-08-25,2,1673
nation,Northern Ireland,N92000002,2020-08-24,6,1671
nation,Northern Ireland,N92000002,2020-08-23,3,1665
nation,Northern Ireland,N92000002,2020-08-22,3,1662
nation,Northern Ireland,N92000002,2020-08-21,2,1659
nation,Northern Ireland,N92000002,2020-08-20,6,1657
nation,Northern Ireland,N92000002,2020-08-19,6,1651
nation,Northern Ireland,N92000002,2020-08-18,6,1645
nation,Northern Ireland,N92000002,2020-08-17,6,1639
nation,Northern Ireland,N92000002,2020-08-16,2,1633
nation,Northern Ireland,N92000002,2020-08-15,2,1631
nation,Northern Ireland,N92000002,2020-08-14,2,1629
nation,Northern Ireland,N92000002,2020-08-13,4,1627
nation,Northern Ireland,N92000002,2020-08-12,3,1623
nation,Northern Ireland,N92000002,2020-08-11,2,1620
nation,Northern Ireland,N92000002,2020-08-10,0,1618
nation,Northern Ireland,N92000002,2020-08-09,2,1618
nation,Northern Ireland,N92000002,2020-08-08,5,1616
nation,Northern Ireland,N92000002,2020-08-07,0,1611
nation,Northern Ireland,N92000002,2020-08-06,3,1611
nation,Northern Ireland,N92000002,2020-08-05,1,1608
nation,Northern Ireland,N92000002,2020-08-04,1,1607
nation,Northern Ireland,N92000002,2020-08-03,3,1606
nation,Northern Ireland,N92000002,2020-08-02,1,1603
nation,Northern Ireland,N92000002,2020-08-01,3,1602
nation,Northern Ireland,N92000002,2020-07-31,2,1599
nation,Northern Ireland,N92000002,2020-07-30,1,1597
nation,Northern Ireland,N92000002,2020-07-29,2,1596
nation,Northern Ireland,N92000002,2020-07-28,1,1594
nation,Northern Ireland,N92000002,2020-07-27,2,1593
nation,Northern Ireland,N92000002,2020-07-26,0,1591
nation,Northern Ireland,N92000002,2020-07-25,2,1591
nation,Northern Ireland,N92000002,2020-07-24,3,1589
nation,Northern Ireland,N92000002,2020-07-23,0,1586
nation,Northern Ireland,N92000002,2020-07-22,2,1586
nation,Northern Ireland,N92000002,2020-07-21,0,1584
nation,Northern Ireland,N92000002,2020-07-20,1,1584
nation,Northern Ireland,N92000002,2020-07-19,1,1583
nation,Northern Ireland,N92000002,2020-07-18,2,1582
nation,Northern Ireland,N92000002,2020-07-17,0,1580
nation,Northern Ireland,N92000002,2020-07-16,2,1580
nation,Northern Ireland,N92000002,2020-07-15,1,1578
nation,Northern Ireland,N92000002,2020-07-14,0,1577
nation,Northern Ireland,N92000002,2020-07-13,1,1577
nation,Northern Ireland,N92000002,2020-07-12,0,1576
nation,Northern Ireland,N92000002,2020-07-11,1,1576
nation,Northern Ireland,N92000002,2020-07-10,0,1575
nation,Northern Ireland,N92000002,2020-07-09,3,1575
nation,Northern Ireland,N92000002,2020-07-08,3,1572
nation,Northern Ireland,N92000002,2020-07-07,1,1569
nation,Northern Ireland,N92000002,2020-07-06,1,1568
nation,Northern Ireland,N92000002,2020-07-05,0,1567
nation,Northern Ireland,N92000002,2020-07-04,3,1567
nation,Northern Ireland,N92000002,2020-07-03,1,1564
nation,Northern Ireland,N92000002,2020-07-02,2,1563
nation,Northern Ireland,N92000002,2020-07-01,0,1561
nation,Northern Ireland,N92000002,2020-06-30,2,1561
nation,Northern Ireland,N92000002,2020-06-29,0,1559
nation,Northern Ireland,N92000002,2020-06-28,3,1559
nation,Northern Ireland,N92000002,2020-06-27,0,1556
nation,Northern Ireland,N92000002,2020-06-26,2,1556
nation,Northern Ireland,N92000002,2020-06-25,2,1554
nation,Northern Ireland,N92000002,2020-06-24,1,1552
nation,Northern Ireland,N92000002,2020-06-23,3,1551
nation,Northern Ireland,N92000002,2020-06-22,2,1548
nation,Northern Ireland,N92000002,2020-06-21,4,1546
nation,Northern Ireland,N92000002,2020-06-20,4,1542
nation,Northern Ireland,N92000002,2020-06-19,1,1538
nation,Northern Ireland,N92000002,2020-06-18,1,1537
nation,Northern Ireland,N92000002,2020-06-17,1,1536
nation,Northern Ireland,N92000002,2020-06-16,1,1535
nation,Northern Ireland,N92000002,2020-06-15,0,1534
nation,Northern Ireland,N92000002,2020-06-14,0,1534
nation,Northern Ireland,N92000002,2020-06-13,2,1534
nation,Northern Ireland,N92000002,2020-06-12,2,1532
nation,Northern Ireland,N92000002,2020-06-11,5,1530
nation,Northern Ireland,N92000002,2020-06-10,5,1525
nation,Northern Ireland,N92000002,2020-06-09,5,1520
nation,Northern Ireland,N92000002,2020-06-08,2,1515
nation,Northern Ireland,N92000002,2020-06-07,1,1513
nation,Northern Ireland,N92000002,2020-06-06,3,1512
nation,Northern Ireland,N92000002,2020-06-05,3,1509
nation,Northern Ireland,N92000002,2020-06-04,3,1506
nation,Northern Ireland,N92000002,2020-06-03,3,1503
nation,Northern Ireland,N92000002,2020-06-02,4,1500
nation,Northern Ireland,N92000002,2020-06-01,3,1496
nation,Northern Ireland,N92000002,2020-05-31,4,1493
nation,Northern Ireland,N92000002,2020-05-30,5,1489
nation,Northern Ireland,N92000002,2020-05-29,6,1484
nation,Northern Ireland,N92000002,2020-05-28,6,1478
nation,Northern Ireland,N92000002,2020-05-27,6,1472
nation,Northern Ireland,N92000002,2020-05-26,10,1466
nation,Northern Ireland,N92000002,2020-05-25,9,1456
nation,Northern Ireland,N92000002,2020-05-24,4,1447
nation,Northern Ireland,N92000002,2020-05-23,4,1443
nation,Northern Ireland,N92000002,2020-05-22,5,1439
nation,Northern Ireland,N92000002,2020-05-21,8,1434
nation,Northern Ireland,N92000002,2020-05-20,5,1426
nation,Northern Ireland,N92000002,2020-05-19,10,1421
nation,Northern Ireland,N92000002,2020-05-18,11,1411
nation,Northern Ireland,N92000002,2020-05-17,12,1400
nation,Northern Ireland,N92000002,2020-05-16,7,1388
nation,Northern Ireland,N92000002,2020-05-15,11,1381
nation,Northern Ireland,N92000002,2020-05-14,13,1370
nation,Northern Ireland,N92000002,2020-05-13,16,1357
nation,Northern Ireland,N92000002,2020-05-12,10,1341
nation,Northern Ireland,N92000002,2020-05-11,22,1331
nation,Northern Ireland,N92000002,2020-05-10,18,1309
nation,Northern Ireland,N92000002,2020-05-09,19,1291
nation,Northern Ireland,N92000002,2020-05-08,7,1272
nation,Northern Ireland,N92000002,2020-05-07,12,1265
nation,Northern Ireland,N92000002,2020-05-06,17,1253
nation,Northern Ireland,N92000002,2020-05-05,11,1236
nation,Northern Ireland,N92000002,2020-05-04,13,1225
nation,Northern Ireland,N92000002,2020-05-03,10,1212
nation,Northern Ireland,N92000002,2020-05-02,12,1202
nation,Northern Ireland,N92000002,2020-05-01,19,1190
nation,Northern Ireland,N92000002,2020-04-30,27,1171
nation,Northern Ireland,N92000002,2020-04-29,17,1144
nation,Northern Ireland,N92000002,2020-04-28,11,1127
nation,Northern Ireland,N92000002,2020-04-27,23,1116
nation,Northern Ireland,N92000002,2020-04-26,11,1093
nation,Northern Ireland,N92000002,2020-04-25,19,1082
nation,Northern Ireland,N92000002,2020-04-24,22,1063
nation,Northern Ireland,N92000002,2020-04-23,23,1041
nation,Northern Ireland,N92000002,2020-04-22,27,1018
nation,Northern Ireland,N92000002,2020-04-21,31,991
nation,Northern Ireland,N92000002,2020-04-20,33,960
nation,Northern Ireland,N92000002,2020-04-19,22,927
nation,Northern Ireland,N92000002,2020-04-18,15,905
nation,Northern Ireland,N92000002,2020-04-17,32,890
nation,Northern Ireland,N92000002,2020-04-16,33,858
nation,Northern Ireland,N92000002,2020-04-15,23,825
nation,Northern Ireland,N92000002,2020-04-14,22,802
nation,Northern Ireland,N92000002,2020-04-13,17,780
nation,Northern Ireland,N92000002,2020-04-12,22,763
nation,Northern Ireland,N92000002,2020-04-11,22,741
nation,Northern Ireland,N92000002,2020-04-10,20,719
nation,Northern Ireland,N92000002,2020-04-09,33,699
nation,Northern Ireland,N92000002,2020-04-08,32,666
nation,Northern Ireland,N92000002,2020-04-07,39,634
nation,Northern Ireland,N92000002,2020-04-06,42,595
nation,Northern Ireland,N92000002,2020-04-05,29,553
nation,Northern Ireland,N92000002,2020-04-04,41,524
nation,Northern Ireland,N92000002,2020-04-03,44,483
nation,Northern Ireland,N92000002,2020-04-02,44,439
nation,Northern Ireland,N92000002,2020-04-01,45,395
nation,Northern Ireland,N92000002,2020-03-31,43,350
nation,Northern Ireland,N92000002,2020-03-30,35,307
nation,Northern Ireland,N92000002,2020-03-29,34,272
nation,Northern Ireland,N92000002,2020-03-28,37,238
nation,Northern Ireland,N92000002,2020-03-27,30,201
nation,Northern Ireland,N92000002,2020-03-26,28,171
nation,Northern Ireland,N92000002,2020-03-25,29,143
nation,Northern Ireland,N92000002,2020-03-24,15,114
nation,Northern Ireland,N92000002,2020-03-23,18,99
nation,Northern Ireland,N92000002,2020-03-22,10,81
nation,Northern Ireland,N92000002,2020-03-21,15,71
nation,Northern Ireland,N92000002,2020-03-20,12,56
nation,Northern Ireland,N92000002,2020-03-19,5,44
nation,Northern Ireland,N92000002,2020-03-18,8,39
nation,Northern Ireland,N92000002,2020-03-17,5,31
nation,Northern Ireland,N92000002,2020-03-16,4,26
nation,Northern Ireland,N92000002,2020-03-15,1,22
nation,Northern Ireland,N92000002,2020-03-14,2,21
nation,Northern Ireland,N92000002,2020-03-13,2,19
nation,Northern Ireland,N92000002,2020-03-12,3,17
nation,Northern Ireland,N92000002,2020-03-11,4,14
nation,Northern Ireland,N92000002,2020-03-10,4,10
nation,Northern Ireland,N92000002,2020-03-09,1,6
nation,Northern Ireland,N92000002,2020-03-08,0,5
nation,Northern Ireland,N92000002,2020-03-07,0,5
nation,Northern Ireland,N92000002,2020-03-06,3,5
nation,Northern Ireland,N92000002,2020-03-05,1,2
nation,Northern Ireland,N92000002,2020-03-04,0,1
nation,Northern Ireland,N92000002,2020-03-03,0,1
nation,Northern Ireland,N92000002,2020-03-02,1,1
